Characteristics,Appearances
universal claims or assertions such as about the gods,"1.4, 2.12, 2.13, 4.6, 4.8, 4.14, 5.9, 5.24"
appeals to authority ,"1.5, 2.5, 2.10, 2.13"
conversation,5.3
personification,5.3
rhetorical questions,"2.19, 3.9"
metaphors,"2.7, 2.11, 5.2, 5.8"
anecdotes or examples,1.6
imperatives,5.25
exhortation,"3.3, 4.10, 5.6, 5.8, 5.11, 5.12, 5.25"
caustic injunctions,nan
pathos,"2.2, 2.9, 2.17, 3.5"
irony or satire,nan
hyperbole,nan
oppositions or choices,"2.3, 2.14, 4.4, 5.4, 5.6, 5.9, 5.15"
figurations of groupness,"2.14, 5.4, 5.7, 5.9, 5.12, 5.14, 5.27"
second person addresses,"1.2, 2.1, 2.9, 2.20"
plural inclusive addresses,"1.2, 4.14, 5.6"
first person reflection,"1.1, 2.18"
analysis of questions or objections,nan
systematic structure,3.1
