Characteristics,Appearances
universal claims or assertions such as about the gods,"1.3, 1.20, 3.6, 3.17, 3.18, 4.4, 4.6, 4.17, 5.5, 5.10, 5.15, 5.17, 5.21, 6.16, 9.8, 10.17, 13.4"
appeals to authority ,"1.1, 1.21, 2.17, 3.5, 3.18, 4.6, 4.13, 5.19, 6.2, 6.4, 6.16, 8.15, 9.9, 10.8, 10.17, 11.2, 11.4, 11.5, 11.12, 11.23, 11.31, 11.32, 12.7, 12.12, 12.19, 13.1, 13.10"
conversation,12.16
personification,10.1
rhetorical questions,"1.17, 2.2, 2.16, 3.1, 3.8, 6.14, 11.7, 11.11, 11.22, 11.29, 12.13, 12.15, 12.17, 13.5"
metaphors,"2.15, 3.3, 5.1, 6.13, 9.6, 9.10"
anecdotes or examples,"3.7, 3.12, 8.12, 11.30"
imperatives,"10.7, 11.1, 13.5"
exhortation,"2.8, 5.15, 5.20, 6.1, 6.13, 7.1, 7.2, 8.7, 8.10, 8.24, 10.7, 13.5, 13.11"
caustic injunctions,11.19
pathos,"1.5, 2.4, 4.8, 5.2, 5.4, 6.4, 7.3, 11.21, 12.10, 12.20"
irony or satire,"11.19, 12.13"
hyperbole,"7.11, 11.19"
oppositions or choices,"1.12, 3.6, 4.16, 5.10, 6.14, 10.4, 11.4, 11.12"
figurations of groupness,"3.14, 3.18, 6.15"
second person addresses,"1.2, 3.2, 5.20, 6.1, 6.11"
plural inclusive addresses,"2.11, 2.17, 3.18, 4.13, 5.1, 5.21, 7.1, 10.3, 10.11"
first person reflection,"1.15, 7.8, 11.9"
analysis of questions or objections,"1.18, 10.11, 11.5, 12.16"
systematic structure,"7.13, 9.6"
