Characteristics,Appearances
universal claims or assertions such as about the gods,"1.2, 1.6, 1.15, 2.4, 2.5, 2.9, 2.15, 2.21, 3.1, 3.5, 3.17, 6.31, 7.9, 7.20, 7.23"
appeals to authority ,"2.5, 2.17, 2.19, 7.9, 9.2, 9.21"
conversation,8.15
personification,nan
rhetorical questions,"1.33, 2.1, 2.7, 2.19, 2.24, 7.21, 8.16"
metaphors,"1.28, 2.22, 3.17, 6.10, 7.1, 7.4, 7.5"
anecdotes or examples,"1.3, 1.8, 1.34, 2.2, 2.7, 2.14, 2.17, 2.19, 7.1, 7.11, 7.21, 9.6"
imperatives,6.22
exhortation,"1.30, 2.14, 6.22"
caustic injunctions,"1.5, 3.1, 8.17"
pathos,nan
irony or satire,8.17
hyperbole,6.34
oppositions or choices,"2.7, 2.10, 2.17, 6.6, 8.15, 8.27, 9.4, 9.8"
figurations of groupness,"5.16, 6.17, 6.22, 7.9, 8.3, 9.18, 9.23"
second person addresses,"1.1, 1.7, 2.6"
plural inclusive addresses,"1.13, 1.14, 1.17, 1.33, 2.9, 3.19, 6.32, 7.9, 7.11, 7.19, 8.16"
first person reflection,"1.1, 1.2, 1.10, 1.12, 1.33, 2.6, 2.18, 6.35"
analysis of questions or objections,"1.5, 1.33, 2.1, 7.17, 8.16"
systematic structure,"1.1, 1.3, 1.6, 1.12, 1.14, 2.2, 2.6, 2.10, 2.18, 2.20, 3.6, 3.19, 7.16, 7.19, 8.1, 8.28"
