Characteristics,Appearances
universal claims or assertions such as about the gods,"2, 3, 4, 5, 5, 7, 9, 10, 11, 12, 13, 14, 14, 15, 15, 16, 18, 19, 19, 20, 21, 23, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48"
appeals to authority ,"1, 11, 12, 13, 35, 36, 37"
conversation,nan
personification,nan
rhetorical questions,"2, 21, 22, 33, 38"
metaphors,"1, 10, 11, 11, 12, 12, 12, 23, 24, 25, 28, 29, 30, 31, 31, 35, 36, 39, 45, 46"
anecdotes or examples,"1, 3, 3, 4, 5, 6, 8, 9, 13, 14, 16, 18, 19, 20, 23, 24, 25, 25, 26, 28, 29, 30, 31, 31, 32, 34, 35, 36, 37, 37, 47, 48"
imperatives,nan
exhortation,3
caustic injunctions,nan
pathos,nan
irony or satire,nan
hyperbole,5
oppositions or choices,"1, 4, 5, 5, 26, 27, 30"
figurations of groupness,"25, 26, 27"
second person addresses,"1, 2, 3, 7, 12, 14, 25, 26, 28, 29"
plural inclusive addresses,"3, 3, 3, 5, 7, 17, 18, 39"
first person reflection,"1, 1, 2, 3, 3, 4, 4, 5, 5, 7, 8, 11, 22, 23, 24, 25, 29, 30, 31, 33, 34, 35, 35, 37, 40, 4"
analysis of questions or objections,7
systematic structure,"1, 2, 2, 3, 4, 5, 5, 6, 7, 8, 11, 14, 14, 15, 22, 24, 25, 26, 27, 29, 31, 33, 33, 34, 35, 37, 38, 40"
