Characteristics,Appearances
universal claims or assertions such as about the gods,"1.2, 1.13, 2.18, 3.12, 3.20, 4.1, 4.13, 4.21, 6.2, 6.4, 7.15, 7.20, 8.1, 8.19, 10.4, 10.9, 14.2, 14.19, 19.1, 19.6, 19.13, 19.15, 19.34, 20.16, 20.22, 20.34"
appeals to authority ,"1.13, 3.7, 3.21, 4.14, 4.20, 4.21, 5.1, 5.8, 6.3, 6.8, 6.13, 7.8, 7.11, 7.14, 7.16, 7.19, 8.9, 8.14, 8.20, 15.8, 16.6, 16.10, 16.15, 19.2, 19.5, 19.7, 19.9, 10.16, 11.18, 14.1, 19.1, 19.5, 19.7, 19.12, 19.15, 19.22, 19.27, 20.1, 20.16"
conversation,nan
personification,nan
rhetorical questions,19.5
metaphors,"1.9, 1.13, 2.19, 6.2, 6.7, 6.15, 13.9, 19.22"
anecdotes or examples,"1.3, 1.5, 1.13, 1.14, 1.18, 3.1, 3.4, 3.5, 5.16, 5.20, 15.3, 16.6, 19.11, 19.13, 19.14, 11.1, 12.3, 13.5, 19.25, 20.3, 20.9, 20.22"
imperatives,"1.1, 2.2, 2.14, 16.7"
exhortation,"2.2, 2.14, 15.2, 16.7, 16.12, 11.1, 12.1, 14.3, 19.3, 19.13, 20.2, 20.8"
caustic injunctions,"5.13, 8.5, 8.13, 19.21"
pathos,nan
irony or satire,nan
hyperbole,nan
oppositions or choices,"1.18, 2.6, 2.15, 3.2, 3.7, 3.10, 4.21, 5.12, 5.20, 7.21, 8.1, 8.5, 8.13, 8.16, 8.19, 12.20, 19.3, 19.10, 19.16, 19.34, 20.2, 20.5, 20.21, 20.31"
figurations of groupness,"1.13, 1.18, 2.2, 2.6, 2.7, 2.19, 3.7, 3.10, 4.1, 5.12, 5.16, 5.20, 6.8, 6.11, 7.21, 8.1, 8.5, 8.16, 8.19, 8.21, 15.5, 15.15, 11.14, 12.6, 13.12, 13.14, 19.3, 19.10, 19.13, 19.16, 19.34, 20.2, 20.5, 20.31"
second person addresses,"2.2, 2.14, 2.15, 16.1"
plural inclusive addresses,20.29
first person reflection,"2.2, 2.14"
analysis of questions or objections,nan
systematic structure,"1.3, 1.10, 4.15, 5.10, 7.7, 8.17, 15.4, 16.15"
