Characteristics,Appearances
universal claims or assertions such as about the gods,"1.1.1, 1.1.6, 1.1.12, 1.2.1, 1.3.3, 1.6.7, 1.6.9, 1.6.40, 1.9.4, 1.9.16, 1.9.34, 1.12.16, 1.12.32, 1.14.1, 1.14.11, 1.14.14, 1.14.17, 1.15.2, 1.15.7, 1.16.1, 1.16.7, 1.16.16, 1.17.18, 1.18.23, 1.19.7, 1.20.15, 1.26.1, 1.27.1, 1.29.4, 1.29.14, 1.29.19, 1.29.29, 1.30.1, 2.1.13, 2.8.20, 2.11.1, 2.11.6, 2.16.46, 2.23.10, 2.26.1, 3.7.2, 3.11.1, 3.13.7, 3.13.14, 3.13.15, 3.13.21, 3.22.2, 3.24.2, 3.24.10, 3.24.42, 4.1.77, 4.1.89, 4.1.100, 4.1.101, 4.3.10, 4.3.12, 4.4.47, 4.5.4, 4.5.30, 4.7.6, 4.7.7, 4.11.3, 4.11.6, 4.11.8, 4.11.10"
appeals to authority ,"1.1.13, 1.2.12, 1.2.19, 1.2.33, 1.4.1, 1.4.28, 1.11.31, 1.12.23, 1.17.11, 1.18.18, 1.24.16, 1.25.31, 1.26.18, 1.28.4, 1.29.4, 1.28.7, 1.29.14, 1.29.29, 1.29.65, 2.1.13, 2.1.15, 2.1.25, 2.1.32, 2.5.18, 2.6.9, 2.6.26, 2.8.26, 2.12.5, 2.12.14, 2.13.13, 2.13.14, 2.13.24, 2.16.34, 2.18.20, 2.18.32, 2.22.11, 2.22.36, 2.23.42, 2.26.6, 3.1.16, 3.1.19, 3.1.38, 3.1.42, 3.5.14, 3.7.34, 3.10.2, 3.11.3, 3.12.15, 3.12.17, 3.14.9, 3.15.14, 3.21.18, 3.22.24, 3.22.26, 3.22.30, 3.22.56, 3.22.90, 3.22.95, 3.22.108, 3.23.22, 3.23.25, 3.23.29, 3.23.32, 3.24.13, 3.24.60, 3.24.64, 3.24.99, 3.26.23, 4.1.20, 4.1.30, 4.1.41, 4.1.114, 4.1.131, 4.1.152, 4.1.159, 4.1.172, 4.4.21, 4.4.34, 4.5.2, 4.5.3, 4.5.15, 4.5.18, 4.5.33, 4.5.37, 4.6.20, 4.6.30, 4.6.32, 4.7.29, 4.8.12, 4.8.22, 4.8.32, 4.9.6, 4.10.10, 4.10.35, 4.11.19, 4.11.20, 4.11.21, 4.11.30"
conversation,"1.1.2, 1.1.4, 1.1.13, 1.1.17, 1.1.21, 1.2.2, 1.2.15, 1.2.29, 1.2.30, 1.3.5, 1.6.30, 1.7.31, 1.9.12, 1.12.11, 1.12.13, 1.13.1, 1.14.1, 1.17.4, 1.18.16, 1.18.17, 1.19.4, 1.19.26, 1.20.13, 1.22.13, 1.28.4, 1.28.7, 1.28.14, 1.29.16, 1.30.2, 2.1.23, 2.1.26, 2.1.29, 2.2.8, 2.4.8, 2.5.18, 2.6.6, 2.6.20, 2.8.24, 2.8.28, 2.10.20, 2.11.7, 2.11.19, 2.12.7, 2.12.17, 2.13.9, 2.13.12, 2.14.14, 2.15.5, 2.15.15, 2.16.2, 2.16.32, 2.19.7, 2.19.32, 2.20.23, 2.20.29, 2.21.18, 2.22.4, 2.22.8, 2.23.16, 2.24.2, 2.24.24, 2.25.1, 3.5.15, 3.7.4, 3.7.29, 3.9.3, 3.14.11, 3.18.2, 3.18.7, 3.21.6, 3.22.33, 3.23.9, 3.23.17, 3.23.19, 3.23.23, 3.23.33, 3.24.4, 3.24.18, 3.24.37, 3.24.89, 3.24.97, 3.26.4, 3.26.7, 3.26.19, 3.26.37, 4.1.6, 4.1.11, 4.1.52, 4.1.59, 4.1.73, 4.1.99, 4.1.107, 4.1.110, 4.1.144, 4.3.8, 4.4.24, 4.4.30, 4.5.22, 4.6.1, 4.6.10, 4.6.19, 4.6.34, 4.7.19, 4.7.25, 4.7.36, 4.8.2, 4.10.8, 4.12.10"
personification,"1.1.10, 1.2.2, 1.2.29, 1.4.11, 1.9.12, 1.9.23, 1.12.11, 1.12.13, 1.4.1, 1.15.3, 1.16.8, 1.18.17, 1.20.13, 1.22.5, 1.25.11, 1.26.14, 1.29.16, 1.30.2, 3.22.20, 3.22.73, 3.23.21, 3.23.22, 3.24.96, 4.1.28, 4.1.47, 4.1.88, 4.1.93, 4.7.18, 4.10.1"
rhetorical questions,"1.1.2, 1.1.6, 1.1.9, 1.1.16, 1.1.19, 1.2.13, 1.2.17, 1.2.22, 1.2.25, 1.2.30, 1.2.37, 1.3.2, 1.3.6, 1.3.8, 1.4.5, 1.4.11, 1.4.16, 1.4.18, 1.4.32, 1.5.1, 1.5.7, 1.5.10, 1.6.7, 1.6.11, 1.6.18, 1.6.24, 1.6.32, 1.6.39, 1.7.11, 1.7.15, 1.7.23, 1.7.33, 1.8.4, 1.8.6, 1.8.9, 1.8.11, 1.9.1, 1.9.6, 1.9.13, 1.9.22, 1.9.32, 1.10.7, 1.10.9, 1.11.26, 1.11.30, 1.12.5, 1.12.9, 1.14.3, 1.14.9, 1.14.16, 1.15.8, 1.16.10, 1.16.20, 1.17.2, 1.17.7, 1.17.11, 1.17.23, 1.18.13, 1.18.22, 1.19.1, 1.19.15, 1.19.21, 1.19.25, 1.20.13, 1.20.15, 1.20.17, 1.21.2, 1.21.4, 1.22.1, 1.23.7, 1.24.10, 1.24.17, 1.25.1, 1.25.3, 1.25.9, 1.25.27, 1.26.5, 1.26.9, 1.26.12, 1.26.14, 1.27.8, 1.27.14, 1.27.19, 1.28.9, 1.28.31, 1.28.33, 1.29.8, 1.29.15, 1.29.16, 1.29.23, 1.29.30, 1.29.39, 2.1.4, 2.1.5, 2.1.28, 2.2.3, 2.2.15, 2.2.21, 2.4.2, 2.4.9, 2.4.11, 2.5.14, 2.5.24, 2.5.27, 2.6.11, 2.6.15, 2.7.8, 2.7.9, 2.8.7, 2.9.18, 2.10.13, 2.11.20, 2.12.2, 2.12.4, 2.12.17, 2.13.2, 2.13.12, 2.13.13, 2.13.24, 2.14.1, 2.14.3, 2.14.21, 2.14.23, 2.15.4, 2.15.13, 2.16.9, 2.16.16, 2.16.22, 2.16.24, 2.16.29, 2.16.32, 2.16.44, 2.17.9, 2.17.10, 2.17.12, 2.17.17, 2.17.23, 2.17.27, 2.18.29, 2.19.8, 2.19.10, 2.19.14, 2.19.17, 2.19.19, 2.19.22, 2.19.28, 2.20.3, 2.20.8, 2.20.15, 2.20.17, 2.20.22, 2.20.28, 2.20.36, 2.21.9, 2.21.15, 2.21.17, 2.22.3, 2.22.5, 2.22.7, 2.22.13, 2.22.30, 2.23.3, 2.23.7, 2.23.8, 2.23.11, 2.23.21, 2.23.32, 2.23.43, 2.24.24, 2.25.3, 3.1.12, 3.1.16, 3.1.30, 3.2.8, 3.2.14, 3.3.10, 3.4.2, 3.4.7, 3.5.2, 3.5.5, 3.5.8, 3.5.16, 3.6.7, 3.7.3, 3.7.15, 3.7.19, 3.8.6, 3.9.5, 3.9.7, 3.9.14, 3.9.19, 3.10.6, 3.10.14, 3.10.17, 3.12.9, 3.13.10, 3.13.12, 3.13.18, 3.13.22, 3.14.6, 3.14.12, 3.15.10, 3.15.14, 3.16.4, 3.16.15, 3.17.5, 3.18.3, 3.18.7, 3.19.4, 3.20.4, 3.20.16, 3.21.8, 3.21.13, 3.21.16, 3.21.21, 3.22.16, 3.22.29, 3.22.31, 3.22.37, 3.22.39, 3.22.47, 3.22.56, 3.22.59, 3.22.62, 3.22.72, 3.22.74, 3.22.77, 3.22.84, 3.22.96, 3.22.98, 3.22.104, 3.23.8, 3.23.15, 3.23.23, 3.23.27, 3.23.31, 3.23.37, 3.24.4, 3.24.7, 3.24.18, 3.24.22, 3.24.25, 3.24.31, 3.24.33, 3.24.36, 3.24.40, 3.24.50, 3.24.53, 3.24.56, 3.24.60, 3.24.64, 3.24.70, 3.24.76, 3.24.81, 3.24.99, 3.24.114, 3.24.117, 3.25.7, 3.25.10, 3.26.1, 3.26.6, 3.24.8, 3.26.15, 3.26.18, 3.26.25, 3.26.27, 3.26.38, 4.1.10, 4.1.15, 4.1.21, 4.1.23, 4.1.25, 4.1.32, 4.1.46, 4.1.48, 4.1.51, 4.1.81, 4.1.85, 4.1.88, 4.1.93, 4.1.100, 4.1.103, 4.1.106, 4.1.115, 4.1.117, 4.1.125, 4.1.127, 4.1.146, 4.1.148, 4.1.161, 4.1.168, 4.1.171, 4.4.2, 4.4.4, 4.4.8, 4.4.21, 4.4.24, 4.4.28, 4.4.29, 4.4.32, 4.4.33, 4.4.37, 4.4.48, 4.5.8, 4.5.10, 4.5.13, 4.5.14, 4.5.19, 4.5.22, 4.5.26, 4.5.28, 4.5.32, 4.5.33, 4.6.7, 4.6.18, 4.6.22, 4.6.23, 4.6.25, 4.6.28, 4.6.36, 4.7.2, 4.7.5, 4.7.12, 4.7.15, 4.7.19, 4.7.21, 4.7.28, 4.7.38, 4.8.6, 4.8.11, 4.8.13, 4.8.20, 4.8.21, 4.8.40, 4.9.4, 4.9.9, 4.9.12, 4.10.7, 4.10.15, 4.10.17, 4.10.22, 4.10.28, 4.10.31, 4.10.34, 4.10.35, 4.11.5, 4.11.7, 4.11.15, 4.11.24, 4.11.28, 4.11.31, 4.11.33, 4.12.3, 4.12.9, 4.13.10, 4.13.23"
metaphors,"1.3.7, 1.4.20, 1.11.9, 1.12.7, 1.14.15, 1.15.2, 1.15.8, 1.16.4, 1.20.8, 1.23.7, 1.24.14, 1.25.24, 2.1.8, 2.1.15, 2.3.4, 2.4.4, 2.4.11, 2.6.14, 2.9.10, 2.14.21, 2.21.20, 3.1.22, 3.3.1, 3.12.15, 3.20.12, 3.21.1, 3.21.20, 3.22.3, 3.22.52, 3.22.99, 3.23.30, 3.24.31, 4.1.86, 4.1.108, 4.8.37"
anecdotes or examples,"1.1.1, 1.1.3, 1.1.6, 1.1.9, 1.1.21, 1.1.32, 1.2.2, 1.2.7, 1.2.10, 1.2.17, 1.2.28, 1.3.1, 1.4.4, 1.4.28, 1.5.1, 1.5.2, 1.6.1, 1.6.37, 1.7.3, 1.7.20, 1.8.6, 1.9.1, 1.9.25, 1.11.26, 1.11.33, 1.11.34, 1.12.1, 1.12.4, 1.12.26, 1.12.30, 1.12.32, 1.16.10, 1.17.10, 1.18.1, 1.18.21, 1.19.14, 1.19.16, 1.19.23, 1.20.2, 1.20.12, 1.22.1, 1.22.5, 1.22.13, 1.22.16, 1.22.18, 1.23.2, 1.24.1, 1.25.1, 1.25.12, 1.26.15, 1.27.18, 1.28.10, 1.28.22, 1.28.28, 1.29.2, 1.29.6, 2.1.1, 2.1.4, 2.1.12, 2.1.21, 2.1.24, 2.1.29, 2.2.10, 2.2.14, 2.2.21, 2.4.9, 2.6.1, 2.6.5, 2.6.13, 2.8.4, 2.10.15, 2.11.12, 2.14.28, 2.17.1, 2.17.7, 2.17.11, 2.17.14, 2.18.1, 2.18.30, 2.19.13, 2.19.33, 2.20.18, 2.22.2, 2.22.5, 2.22.15, 2.22.28, 2.23.1, 2.23.13, 2.23.19, 2.23.20, 2.23.27, 2.23.36, 2.23.40, 2.24.17, 2.26.2, 2.26.6, 3.1.14, 3.1.16, 3.1.19, 3.1.37, 3.1.42, 3.2.11, 3.3.3, 3.3.11, 3.3.14, 3.3.20, 3.5.19, 3.6.6, 3.6.10, 3.7.3, 3.7.10, 3.7.19, 3.7.24, 3.8.7, 3.10.5, 3.10.13, 3.12.7, 3.12.15, 3.13.3, 3.13.7, 3.13.16, 3.14.1, 3.14.4, 3.16.2, 3.16.10, 3.17.4, 3.19.4, 3.20.7, 3.20.10, 3.21.3, 3.21.12, 3.21.18, 3.22.3, 3.22.5, 3.22.24, 3.22.26, 3.22.30, 3.22.56, 3.22.69, 3.22.78, 3.22.88, 3.22.91, 3.23.2, 3.23.15, 3.23.29, 3.24.13, 3.24.25, 3.24.44, 3.24.60, 3.24.85, 3.25.4, 3.25.7, 3.25.9, 4.1.6, 4.1.14, 4.1.19, 4.1.30, 4.1.33, 4.1.57, 4.1.60, 4.1.69, 4.1.78, 4.1.91, 4.1.109, 4.1.114, 4.1.117, 4.1.123, 4.1.152, 4.1.159, 4.1.172, 4.3.5, 4.4.4, 4.4.12, 4.4.19, 4.4.24, 4.4.27, 4.5.2, 4.5.13, 4.5.16, 4.5.25, 4.5.29, 4.5.33, 4.6.20, 4.6.31, 4.7.2, 4.7.19, 4.7.30, 4.8.7, 4.8.13, 4.8.15, 4.8.17, 4.8.22, 4.8.30, 4.8.34, 4.8.42, 4.9.3, 4.9.4, 4.9.12, 4.9.14, 4.10.3, 4.10.14, 4.11.12, 4.11.17, 4.11.18, 4.11.21, 4.11.31, 4.12.14, 4.13.3, 4.13.5, 4.13.12, 4.13.24"
imperatives,"1.6.43, 1.18.19, 1.24.20, 1.25.6, 1.27.6, 1.28.20, 2.1.31, 2.10.1, 2.13.23, 2.17.14, 2.17.22, 2.18.10, 3.5.15, 3.8.6, 3.23.1, 3.24.40, 3.24.108, 3.26.7, 3.26.16, 3.26.18, 4.1.108, 4.1.110, 4.1.146, 4.1.170, 4.4.25, 4.4.36, 4.6.26, 4.6.29, 4.8.1, 4.8.20, 4.8.35, 4.8.40, 4.9.11, 4.9.14, 4.13.15"
exhortation,"1.1.25, 1.2.6, 1.2.32, 1.3.8, 1.4.17, 1.6.22, 1.6.43, 1.7.29, 1.9.17, 1.11.28, 1.11.39, 1.12.7, 1.12.17, 1.12.20, 1.15.8, 1.16.14, 1.16.15, 1.16.18, 1.16.21, 1.18.3, 1.18.6, 1.18.9, 1.18.11, 1.18.14, 1.18.19, 1.20.12, 1.24.1, 1.24.20, 1.25.4, 1.25.6, 1.26.5, 1.27.2, 1.27.6, 1.27.7, 1.27.15, 1.27.20, 1.29.33, 1.29.40, 1.29.59, 1.30.1, 2.1.7, 2.1.14, 2.1.17, 2.1.35, 2.1.36, 2.1.40, 2.2.20, 2.2.24, 2.3.3, 2.5.21, 2.5.28, 2.6.2, 2.6.25, 2.7.10, 2.8.3, 2.9.3, 2.10.1, 2.10.25, 2.12.3, 2.16.40, 2.16.45, 2.16.46, 2.17.22, 2.17.40, 2.18.2, 2.18.19, 2.19.20, 2.21.17, 2.21.22, 2.22.26, 2.22.34, 2.23.2, 2.23.5, 2.23.25, 2.23.34, 2.24.29, 2.26.7, 3.1.36, 3.1.45, 3.3.14, 3.3.18, 3.4.11, 3.6.4, 3.7.21, 3.7.33, 3.8.1, 3.8.6, 3.9.12, 3.9.22, 3.10.1, 3.10.9, 3.10.18, 3.12.1, 3.12.6, 3.12.7, 3.12.10, 3.12.15, 3.13.6, 3.13.8, 3.13.20, 3.13.23, 3.14.2, 3.14.8, 3.14.9, 3.15.1, 3.15.8, 3.16.3, 3.16.9, 3.16.13, 3.16.16, 3.17.1, 3.17.8, 3.18.1, 3.18.5, 3.20.8, 3.21.2, 3.21.4, 3.21.14, 3.21.17, 3.21.22, 3.22.9, 3.22.13, 3.22.20, 3.22.39, 3.22.55, 3.22.107, 3.23.1, 3.23.6, 3.23.30, 3.24.1, 3.24.22, 3.24.33, 3.24.54, 3.24.84, 3.24.88, 3.24.90, 3.24.118, 3.25.2, 3.25.5, 3.26.39, 4.1.41, 4.1.51, 4.1.57, 4.1.79, 4.1.87, 4.1.106, 4.1.110, 4.1.111, 4.1.170, 4.1.176, 4.2.1, 4.2.8, 4.3.2, 4.3.11, 4.4.17, 4.4.25, 4.4.26, 4.4.29, 4.4.36, 4.4.39, 4.6.29, 4.7.40, 4.8.1, 4.8.35, 4.8.40, 4.9.11, 4.9.14, 4.10.3, 4.11.9, 4.11.22, 4.12.1, 4.13.15"
caustic injunctions,"1.4.9, 1.4.11, 1.4.23, 1.5.7, 1.6.30, 1.6.38, 1.6.41, 1.6.43, 1.9.19, 1.12.12, 1.12.20, 1.16.8, 1.26.4, 1.29.42, 1.29.59, 2.1.30, 2.4.8, 2.4.11, 2.7.13, 2.8.13, 2.8.14, 2.13.18, 2.13.23, 2.13.26, 2.15.14, 2.16.13, 2.16.26, 2.16.28, 2.16.31, 2.16.44, 2.17.34, 2.20.37, 3.1.32, 3.2.9, 3.5.4, 3.5.12, 3.5.15, 3.13.17, 3.15.5, 3.16.7, 3.21.6, 3.21.11, 3.21.14, 3.21.24, 3.22.44, 3.22.84, 3.22.85, 3.23.12, 3.23.17, 3.24.5, 3.24.57, 3.26.3, 3.26.12, 3.26.19, 3.26.23, 3.26.25, 3.26.36, 4.1.8, 4.1.21, 4.1.108, 4.1.113, 4.1.138, 4.1.145, 4.1.149, 4.5.21, 4.6.18, 4.7.32, 4.8.20, 4.8.39, 4.10.32, 4.11.16, 4.11.29"
