Characteristics,Appearances
universal claims or assertions such as about the gods,"1.1, 1.15, 2.2, 2.16, 2.20, 3.19, 3.28, 4.8, 4.28, 5.2, 5.6, 6.7, 6.15"
appeals to authority ,"1.1, 1.12, 1.15, 2.2, 2.7, 2.8, 2.20, 3.6, 4.22, 4.27, 6.17"
conversation,2.14
personification,2.14
rhetorical questions,"1.10, 2.14, 2.17, 3.1, 4.9, 4.15, 4.21, 4.30, 5.7, 5.11"
metaphors,"4.24, 5.9"
anecdotes or examples,"2.3, 2.7, 2.17, 3.16, 4.24, 6.1"
imperatives,"1.8, 6.7, 6.17"
exhortation,"1.8, 4.12, 5.1, 5.25, 6.7, 6.17"
caustic injunctions,"1.6, 3.1, 5.12"
pathos,4.19
irony or satire,nan
hyperbole,"1.8, 4.15, 4.16, 5.12"
oppositions or choices,"1.8, 2.6, 2.16, 5.13, 5.16, 6.7"
figurations of groupness,"2.16, 3.10, 4.17, 4.26, 5.3, 5.24, 6.16"
second person addresses,"1.2, 1.7, 1.8, 3.1, 3.26, 4.6, 5.13, 5.21, 6.1, 6.18"
plural inclusive addresses,"1.2, 3.14, 3.23, 4.3, 4.26, 4.28, 4.31, 5.25, 6.9"
first person reflection,"1.1, 1.6, 3.17, 4.20, 6.17"
analysis of questions or objections,"1.8, 1.10, 2.16"
systematic structure,"2.18, 3.6, 4.7, 5.11"
