Characteristics,Appearances
universal claims or assertions such as about the gods,"1.1, 1.3, 1.6, 2.3, 2.14, 2.16, 2.17, 3.1, 3.3, 3.5, 3.19, 4.6, 4.9, 4.12, 4.15, 5.5, 6.10, 6.13, 6.19, 7.3, 7.8, 7.14, 7.22, 8.6, 9.14, 9.18, 9.22, 9.24, 9.28, 10.1, 10.3, 10.12, 10.20, 10.26, 11.3, 12.2, 12.7, 12.23, 12.29, 13.8, 13.12, 13.20"
appeals to authority ,"1.1, 1.5, 1.6, 2.3, 2.6, 2.12, 3.16, 4.3, 4.7, 5.5, 6.13, 7.1, 8.8, 10.16, 10.28, 10.30, 10.37, 11.7, 11.8, 11.11, 11.17, 11.20, 11.31, 12.5, 12.16, 12.20, 13.5"
conversation,nan
personification,nan
rhetorical questions,"1.5, 1.13, 1.14, 2.2, 2.6, 3.16, 7.11, 10.2, 10.29, 12.5, 12.7, 12.9, 12.12, 12.14, 13.6"
metaphors,"3.2, 3.3, 4.12, 5.4, 5.12, 6.7, 9.13, 9.27, 12.7, 12.25, 13.11"
anecdotes or examples,"3.3, 4.8, 6.7, 6.13, 7.1, 8.5, 9.16, 11.7, 11.11, 11.17, 11.20, 11.21, 11.31, 12.7, 12.21, 12.25, 13.11"
imperatives,"10.32, 12.3, 13.2, 13.3, 13.5, 13.7, 13.9, 13.16, 13.17, 13.18, 13.24"
exhortation,"2.1, 3.1, 3.12, 4.1, 4.16, 6.1, 10.22, 10.23, 10.35, 10.36, 12.1, 12.3, 12.5, 12.25, 13.1, 13.2, 13.3, 13.4, 13.5, 13.7, 13.13, 13.15, 13.16, 13.22"
caustic injunctions,nan
pathos,nan
irony or satire,nan
hyperbole,nan
oppositions or choices,"4.2, 4.6, 5.12, 6.1, 6.12, 7.21, 7.23, 8.2, 8.13, 9.11, 9.13, 9.23, 10.1, 10.3, 10.11, 10.25, 10.26, 10.28, 10.37, 10.39, 11.26, 12.8, 12.9, 12.16, 13.9, 13.10"
figurations of groupness,"2.16, 4.2, 4.6, 4.9, 5.12, 7.5, 7.13, 9.28, 10.1, 10.25, 10.39, 11.2, 11.12, 11.40, 12.8, 12.20, 12.25, 13.10"
second person addresses,"3.12, 3.13, 4.1, 5.11, 6.9, 6.10, 6.11, 9.14, 10.29, 10.32, 10.34, 10.36, 12.3, 12.4, 12.7, 12.8, 12.12, 12.17, 12.18, 12.22, 12.25, 13.3, 13.5, 13.7, 13.16, 13.17, 13.19, 13.21, 13.22, 13.23, 13.24, 13.25, "
plural inclusive addresses,"1.1, 2.1, 2.2, 2.8, 3.1, 3.6, 3.14, 3.19, 4.1, 4.3, 4.14, 4.15, 6.1, 6.3, 6.18, 6.19, 7.19, 7.26, 9.24, 10.10, 10.15, 10.19, 10.23, 10.26, 10.30, 10.39, 11.3, 11.40, 12.1, 12.9, 12.25, 12.28, 12.29, 13.6, 13.10, 13.13, 13.14, 13.15, 13.20, 13.23"
first person reflection,"11.32, 13.19, 13.22"
analysis of questions or objections,"7.7, 8.6, 9.25, 11.15"
systematic structure,"2.1, 2.2, 2.11, 2.14, 2.17, 3.1, 3.19, 4.1, 4.8, 4.16, 6.1, 6.4, 6.11, 7.21, 8.1, 8.4, 9.16, 10.36, 11.19"
