Characteristics,Appearances
universal claims or assertions such as about the gods,nan
appeals to authority ,1.19
conversation,nan
personification,nan
rhetorical questions,nan
metaphors,nan
anecdotes or examples,nan
imperatives,1.22.
exhortation,"1.9, 1.17"
caustic injunctions,nan
pathos,nan
irony or satire,nan
hyperbole,nan
oppositions or choices,nan
figurations of groupness,1.16
second person addresses,1.2
plural inclusive addresses,nan
first person reflection,1.17
analysis of questions or objections,nan
systematic structure,nan
