Characteristics,Appearances
universal claims or assertions such as about the gods,"3.4, 24.31"
appeals to authority ,"1.15, 7.28"
conversation,nan
personification,nan
rhetorical questions,17.11
metaphors,nan
anecdotes or examples,"12.31, 15.30, 35.11"
imperatives,nan
exhortation,nan
caustic injunctions,22.9
pathos,nan
irony or satire,nan
hyperbole,nan
oppositions or choices,18.33
figurations of groupness,"5.6, 7.38, 11.2, 12.11, 16.10, 22.9, 24.31"
second person addresses,nan
plural inclusive addresses,"1.2, 7.6, 20.26, 20.27"
first person reflection,nan
analysis of questions or objections,"4.2, 16.7, 20.5"
systematic structure,"3.4, 4.2, 6.2, 6.15, 9.12, 12.7, 12.11, 13.13, 15.5, 15.35, 16.7, 16.37, 18.33, 22.9, 22.12, 24.17"
