Characteristics,Appearances
universal claims or assertions such as about the gods,"7, 8, 13, 15, 22, 27, 31, 40, 48, 66"
appeals to authority ,"6, 7, 13, 14, 15, 17, 19, 26, 27, 28, 32, 34, 35, 36, 37, 38, 39, 44, 45, 48, 51, 65, 66, 80"
conversation,"3, 7"
personification,nan
rhetorical questions,nan
metaphors,10
anecdotes or examples,"11, 16, 20, 29, 47"
imperatives,nan
exhortation,86
caustic injunctions,"16, 19, 25, 40, 42, 43, 46, 51, 75, 82"
pathos,nan
irony or satire,16
hyperbole,nan
oppositions or choices,"6, 7, 25, 36, 40, 45, 47, 55, 71, 75, 76, 77"
figurations of groupness,"5, 6, 7, 9, 15, 16, 19, 23, 24, 25, 26, 27, 36, 38, 40, 41, 43, 47, 49, 53, 54, 55, 61, 65, 69, 71, 74, 75, 76, 77, 79, 84, 85, 86"
second person addresses,nan
plural inclusive addresses,"5, 22, 23, 40, 41, 43, 47, 49, 60, 61, 65, 69, 71, 81, 86"
first person reflection,"12, 18, 31, 39, 43, 48, 60, 80, 81, 84, 86"
analysis of questions or objections,"16, 18"
systematic structure,"1, 2, 5, 7, 10, 11, 12, 13, 15, 16, 17, 18, 19, 21, 22, 24, 26, 31, 34, 37, 38, 48, 50, 51, 58, 59, 60, 62, 73, 74, 75, 79, 80, 81, 84, 85"
