Characteristics,Appearances
universal claims or assertions such as about the gods,"1.16, 2.2, 2.11, 2.14, 2.16, 3.9, 4.11, 4.16, 4.17, 4.24, 5.5, 5.8, 5.11, 7.12, 8.6, 8.14, 9.3, 10.4, 10.12, 10.17, 11.32, 11.36, 12.5, 14.9, 14.23, 15.8"
appeals to authority ,"1.9, 1.14, 1.16, 2.16, 2.24, 3.4, 3.10, 4.3, 4.6, 4.11, 4.17, 7.12, 8.36, 9.7, 9.9, 9.12, 9.15, 9.17, 9.25, 10.5, 10.15, 10.18, 11.1, 11.7, 11.26, 11.34, 12.19, 13.1, 14.11, 15.3, 15.9, 15.15, 15.19, 15.21, 16.25"
conversation,11.19
personification,nan
rhetorical questions,"2.26, 6.21, 7.1, 7.7, 7.13, 7.24, 8.24, 9.14, 9.30, 10.6, 10.14, 11.2, 11.4, 11.15, 13.3, 14.4, 14.10"
metaphors,"1.13, 7.1, 9.21, 12.1"
anecdotes or examples,"1.29, 2.17, 2.25, 4.6, 4.9, 5.7, 5.21, 9.10, 11.2"
imperatives,"11.22, 12.2"
exhortation,"6.19, 11.18, 11.20, 11.25, 12.1, 12.3, 12.6, 15.30, 16.2"
caustic injunctions,nan
pathos,9.2
irony or satire,nan
hyperbole,nan
oppositions or choices,"2.25, 7.23, 8.3, 10.1"
figurations of groupness,"1.16, 2.10, 2.17, 9.3, 10.1, 11.23, 11.25"
second person addresses,"1.6, 1.7, 1.8, 1.13, 1.15, 2.27, 6.3, 7.1, 7.4, 9.19, 10.8, 11.25, 12.1, 14.4, 15.14, 15.32, 16.17"
plural inclusive addresses,"1.5, 1.13, 3.19, 3.28, 4.9, 4.16, 4.24, 5.6, 5.9, 5.21, 6.1, 7.1, 7.4, 8.4, 8.12, 8.22, 9.14, 9.30, 10.1, 11.25, 12.1, 12.4, 14.8, 14.12, 14.19, 15.1, 15.14, 16.1, 16.17"
first person reflection,"1.1, 8.18, 8.38, 11.1, 11.13, 14.14, 15.14, 15.19, 15.32"
analysis of questions or objections,"2.17, 3.8, 8.31, 9.30, 10.8, 10.14, 11.11"
systematic structure,"1.24, 1.26, 1.28, 2.1, 3.25, 4.22, 5.1, 8.17, 9.16, 11.5, 11.7, 11.11"
