Characteristics,Appearances
universal claims or assertions such as about the gods,"3.1.7, 3.1.16, 3.10.3, 3.11.1, 3.11.3, 3.11.4, 3.11.5, 3.12.4, 3.14.1, 3.14.2, 3.15.3"
appeals to authority ,"3.1.3, 3.2.1, 3.14.1"
conversation,"3.12.2, 3.13.1"
personification,"3.1.17, 3.11.2, 3.12.1"
rhetorical questions,"3.1.1, 3.1.8, 3.1.10, 3.1.11, 3.1.12, 3.1.17, 3.5.1, 3.8.2, 3.8.3, 3.9.1, 3.11.1, 3.12.5, 3.13.2, 3.14.2"
metaphors,"3.13.3, 3.15.3"
anecdotes or examples,"3.1.5, 3.1.6, 3.4.1, 3.7.1, 3.8.1, 3.8.3, 3.12.2, 3.12.3"
imperatives,nan
exhortation,"3.1.2, 3.1.4, 3.1.7, 3.2.1, 3.2.2, 3.5.1, 3.15.2"
caustic injunctions,3.15.2
pathos,nan
irony or satire,3.1.6
hyperbole,nan
oppositions or choices,"3.1.5, 3.1.7, 3.1.10, 3.1.11, 3.1.14, 3.2.1"
figurations of groupness,"3.1.6, 3.1.7"
second person addresses,"3.1.8, 3.1.11, 3.1.12, 3.1.17, 3.2.1, 3.8.1, 3.8.3, 3.9.1, 3.10.3, 3.11.1, 3.11.2, 3.12.6, 3.13.1, 3.13.2, 3.13.3, 3.14.2, 3.15.2"
plural inclusive addresses,"3.1.2, 3.1.3, 3.1.10, 3.1.18, 3.2.1, 3.2.2, 3.3.1, 3.4.1, 3.5.1, 3.10.2, 3.10.3, 3.12.2, 3.12.6, 3.13.1, 3.14.1"
first person reflection,"3.1.1, 3.1.2, 3.1.3, 3.1.4, 3.8.1, 3.13.3, 3.14.1"
analysis of questions or objections,"3.1.10, 3.1.11, 3.1.12, 3.5.1, 3.6.1, 3.7.1, 3.8.1, 3.8.2, 3.8.4, 3.9.1, 3.10.1, 3.11.2, 3.12.1, 3.12.4, 3.12.5, 3.13.1, 3.15.1"
systematic structure,"3.1.18, 3.2.2, 3.4.1, 3.8.4, 3.11.5, 3.12.6, 3.13.1, 3.13.2"
